"dNBR","severity","slope","mass_burnt_pct","surface_consumption","surface_remaining","canopy_consumption","canopy_remaining","max_power","residence_time_power","residence_time_consumption","max_reaction_rate","size","site","fire"
364,2,23.8952159881592,12.3710148627559,0.323871847172612,0.676128152827388,0.014338866075944,0.918994467257389,308.22668838501,466.245833333333,498.75,0.00565614164033832,"duet","American","Caldor"
435,3,25.2697372436523,18.3581085457318,0.518476123093375,0.481523876906625,0.0238668211694608,0.903669410714597,502.142011559528,691.382608695652,800.608695652174,0.00792674325881015,"duet","American","Caldor"
536,3,27.0806293487549,27.0285848971208,0.786941659987531,0.213058340012469,0.0219974268403652,0.89355812871519,761.021061740451,1026.46444444444,1169.76666666667,0.0110771391114828,"duet","American","Caldor"
669,3,26.3221435546875,37.3274296034707,0.973662562028952,0.0263374379710482,0.0191667199132695,0.889722168975619,950.745258517795,1225.14666666667,1358.23333333333,0.012815521005521,"duet","American","Caldor"
520,3,27.8494892120361,35.7549385809898,0.995613176584497,0.00438682341550317,0.0176207539075761,0.899045912759091,1003.36981872559,1152.04222222222,1269.73333333333,0.0137654963211724,"duet","American","Caldor"
428,3,28.8057823181152,32.1137113935418,0.995547841286179,0.00445215871382085,0.00956828042472273,0.905987275130833,1039.18466810438,1061.83888888889,1180.46666666667,0.0151144642702195,"duet","American","Caldor"
424,3,26.8739604949951,34.5338104498386,0.995348091184306,0.00465190881569425,0.0245450558751792,0.90545494412482,1053.33868360731,1016.39777777778,1199.8,0.0146244123944299,"duet","American","Caldor"
515,3,28.0430870056152,37.911593605015,0.995217966832347,0.00478203316765324,0.0319047919842057,0.898095208015794,1026.56069051107,1044.24666666667,1259.66666666667,0.0147351182768716,"duet","American","Caldor"
524,3,30.4296798706055,42.4034361009957,0.995334752213274,0.00466524778672656,0.0176145480574187,0.901740290652259,983.620137007518,1126.48817204301,1281.09677419355,0.0119705031017423,"duet","American","Caldor"
605,3,33.9965515136719,46.7696895500665,0.995472122317301,0.00452787768269932,0.0207170348023514,0.900788341541735,962.564976058468,1234.76989247312,1368.38709677419,0.0145762130443132,"duet","American","Caldor"
548,3,30.8524589538574,53.1660930555397,0.995738343007362,0.00426165699263731,0.0327800231116984,0.858331087999413,982.572350056966,1290.50666666667,1459.8,0.0156397585877198,"duet","American","Caldor"
606,3,19.1241569519043,55.2288931565815,0.995748894322241,0.00425110567775705,0.0360255183647298,0.819530037190825,1016.11348524306,1215.94,1400.83333333333,0.0131157236024236,"duet","American","Caldor"
530,3,12.4506721496582,60.5869358311759,0.995647886216869,0.00435211378313012,0.0868729137430445,0.739793752923622,1024.54553371853,1111.56666666667,1453.8,0.0160547875406208,"duet","American","Caldor"
483,3,14.4571151733398,69.3122677071889,0.995835377309309,0.00416462269069003,0.189971450325549,0.620028549674451,1033.95947238498,1047.67777777778,1684.93333333333,0.0163327978927881,"duet","American","Caldor"
417,3,14.5141048431396,70.5843457105425,0.99570210852505,0.00429789147495079,0.203799702255024,0.595089186633865,1066.72021179199,927.284444444444,1594.26666666667,0.0165227268057718,"duet","American","Caldor"
272,2,17.4029846191406,72.0559851312637,0.995996816687975,0.00400318331202609,0.208802968366301,0.574530364967032,1125.84229051378,788.231111111111,1486.96666666667,0.0175281815297273,"duet","American","Caldor"
264,2,20.6198425292969,71.5796023303933,0.993452303850019,0.00654769614998173,0.221575830813137,0.580646391409085,1144.85040181478,732.442222222222,1611.6,0.0196021313041912,"duet","American","Caldor"
968,4,22.9823513031006,70.3364419290313,0.987614735272822,0.012385264727178,0.220305084483413,0.600065285886958,1111.76421474881,698.718518518519,1659.83333333333,0.020802047462118,"duet","American","Caldor"
1071,4,25.3989658355713,82.0484271791246,0.974092145081168,0.0259078549188319,0.361111751022328,0.427777137866561,1040.71091647678,632.266666666667,1792.33333333333,0.0209801532442068,"duet","American","Caldor"
285,2,26.4880962371826,30.2130147740245,0.821337187231983,0.178662812768017,0.0262409681197441,0.877925698546922,786.781709035238,1203.9,1359,0.0134382848050753,"duet","American","Caldor"
563,3,26.3868846893311,37.6277365907379,0.929102959105898,0.070897040894102,0.0375585407688411,0.895774792564493,901.025739852242,1276.60724637681,1482.39130434783,0.0136241753216576,"duet","American","Caldor"
526,3,24.8162860870361,45.0806961226463,0.990888847884476,0.00911115211552542,0.038246160912835,0.893976061309387,973.598409627279,1286.28111111111,1490.9,0.0143705531394612,"duet","American","Caldor"
587,3,24.1142826080322,49.7674759393268,0.995111535949318,0.00488846405068317,0.0274163433699804,0.888139212185575,991.981068386502,1248.78222222222,1407.16666666667,0.0138149874940879,"duet","American","Caldor"
634,3,26.3056678771973,42.5082286163171,0.995080878378807,0.0049191216211937,0.0178673314845996,0.903243779626511,1012.61266866048,1247.28222222222,1369.93333333333,0.0121370148494937,"duet","American","Caldor"
418,3,26.479284286499,35.3605375807815,0.995345618313336,0.00465438168666409,0.0175821376052493,0.901306751283639,1027.97189622667,1238.98111111111,1340.9,0.0122664900877766,"duet","American","Caldor"
433,3,25.5506687164307,36.8801167225838,0.99522543773593,0.00477456226406823,0.0301630299720039,0.884281414472441,1016.43563001845,1191.9,1339.96666666667,0.0126872885261442,"duet","American","Caldor"
665,3,27.283260345459,44.4601676493221,0.995281919606038,0.0047180803939625,0.0326701097343159,0.866218779154573,999.932654893663,1187.22777777778,1415.53333333333,0.0151011713521466,"duet","American","Caldor"
738,3,28.6514167785645,52.0105791017573,0.995387664633553,0.00461233536644721,0.0252914096083337,0.865031171036828,995.52215320218,1208.08602150538,1437.67741935484,0.0119937685903645,"duet","American","Caldor"
809,4,28.462121963501,59.3077384897458,0.995066313926084,0.00493368607391568,0.0371883210280089,0.830553614455863,993.532862443821,1250.14838709677,1442.35483870968,0.011867499163318,"duet","American","Caldor"
698,3,20.9330177307129,67.0322815235456,0.99512878478667,0.00487121521333024,0.0530161233596595,0.763650543307007,995.127903238932,1401.17222222222,1561.13333333333,0.0134393468079568,"duet","American","Caldor"
579,3,11.1705875396729,65.0963779518339,0.995280964038796,0.00471903596120469,0.0592922471084263,0.73737441955824,1010.66533793132,1550.85111111111,1707.76666666667,0.0130654292079248,"duet","American","Caldor"
837,4,15.2298030853271,62.7786334199376,0.995499204074656,0.00450079592534355,0.0956623967403238,0.722115381037454,1019.89002048069,1623.44555555556,1870.8,0.0163438250098847,"duet","American","Caldor"
700,3,17.2281761169434,68.3391570907169,0.99560754235727,0.00439245764272887,0.148531670673995,0.642579440437117,1018.51274305556,1560.55666666667,1960.63333333333,0.0155195260913422,"duet","American","Caldor"
659,3,16.5439987182617,72.6655663503541,0.995508616259696,0.00449138374030303,0.166085856358035,0.590580810308632,1057.84631958008,1367.19777777778,1876.13333333333,0.0185129417420214,"duet","American","Caldor"
348,2,15.1516151428223,74.515093626976,0.996153241194835,0.0038467588051647,0.206619362149308,0.558936193406248,1146.1615806071,1082.96444444444,1772.9,0.0200920730101898,"duet","American","Caldor"
335,2,17.4126873016357,73.7003739451037,0.990260722340241,0.00973927765975822,0.249912865356156,0.541198245754955,1172.07187425401,813.9,1732.36666666667,0.0188733480102947,"duet","American","Caldor"
310,2,20.315336227417,71.1083072898565,0.984072984365456,0.0159270156345432,0.253516912843528,0.553890494563879,1138.80142731843,721.524074074074,1697.05555555556,0.0197414543545056,"duet","American","Caldor"
1010,4,23.5911769866943,78.8942299313015,0.985890769399974,0.0141092306000259,0.273590190549559,0.448632031672663,1098.45655992296,722.555555555556,1608.33333333333,0.020714118282174,"duet","American","Caldor"
